Team 1,Team 2,Bet Type,Bet Info,Odds,Date of game,DateTime(when got odds),Sportsbook Name,Sport
CLE Browns,PIT Steelers,Spread,+4.5,−110,THU NOV 21ST,2024-11-14 15:43:59.854660,DraftKings,NFL
CLE Browns,PIT Steelers,Total,U41,−110,THU NOV 21ST,2024-11-14 15:43:59.854666,DraftKings,NFL
CLE Browns,PIT Steelers,MoneyLine,CLE Browns,+170,THU NOV 21ST,2024-11-14 15:43:59.854670,DraftKings,NFL
KC Chiefs,CAR Panthers,Spread,-11.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.855212,DraftKings,NFL
KC Chiefs,CAR Panthers,Total,O41,−110,SUN NOV 24TH,2024-11-14 15:43:59.855218,DraftKings,NFL
KC Chiefs,CAR Panthers,MoneyLine,KC Chiefs,−675,SUN NOV 24TH,2024-11-14 15:43:59.855222,DraftKings,NFL
CAR Panthers,KC Chiefs,Spread,+11.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.855531,DraftKings,NFL
CAR Panthers,KC Chiefs,Total,U41,−110,SUN NOV 24TH,2024-11-14 15:43:59.855536,DraftKings,NFL
CAR Panthers,KC Chiefs,MoneyLine,CAR Panthers,+490,SUN NOV 24TH,2024-11-14 15:43:59.855541,DraftKings,NFL
TB Buccaneers,NY Giants,Spread,-3,−110,SUN NOV 24TH,2024-11-14 15:43:59.855847,DraftKings,NFL
TB Buccaneers,NY Giants,Total,O43,−110,SUN NOV 24TH,2024-11-14 15:43:59.855853,DraftKings,NFL
TB Buccaneers,NY Giants,MoneyLine,TB Buccaneers,−155,SUN NOV 24TH,2024-11-14 15:43:59.855857,DraftKings,NFL
NY Giants,TB Buccaneers,Spread,+3,−110,SUN NOV 24TH,2024-11-14 15:43:59.856166,DraftKings,NFL
NY Giants,TB Buccaneers,Total,U43,−110,SUN NOV 24TH,2024-11-14 15:43:59.856171,DraftKings,NFL
NY Giants,TB Buccaneers,MoneyLine,NY Giants,+130,SUN NOV 24TH,2024-11-14 15:43:59.856176,DraftKings,NFL
NE Patriots,MIA Dolphins,Spread,+7,−110,SUN NOV 24TH,2024-11-14 15:43:59.856491,DraftKings,NFL
NE Patriots,MIA Dolphins,Total,O43.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.856496,DraftKings,NFL
NE Patriots,MIA Dolphins,MoneyLine,NE Patriots,+280,SUN NOV 24TH,2024-11-14 15:43:59.856501,DraftKings,NFL
MIA Dolphins,NE Patriots,Spread,-7,−110,SUN NOV 24TH,2024-11-14 15:43:59.856808,DraftKings,NFL
MIA Dolphins,NE Patriots,Total,U43.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.856814,DraftKings,NFL
MIA Dolphins,NE Patriots,MoneyLine,MIA Dolphins,−355,SUN NOV 24TH,2024-11-14 15:43:59.856819,DraftKings,NFL
DET Lions,IND Colts,Spread,-6.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.857125,DraftKings,NFL
DET Lions,IND Colts,Total,O49.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.857131,DraftKings,NFL
DET Lions,IND Colts,MoneyLine,DET Lions,−298,SUN NOV 24TH,2024-11-14 15:43:59.857136,DraftKings,NFL
IND Colts,DET Lions,Spread,+6.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.857448,DraftKings,NFL
IND Colts,DET Lions,Total,U49.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.857454,DraftKings,NFL
IND Colts,DET Lions,MoneyLine,IND Colts,+240,SUN NOV 24TH,2024-11-14 15:43:59.857460,DraftKings,NFL
TEN Titans,HOU Texans,Spread,+7.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.857774,DraftKings,NFL
TEN Titans,HOU Texans,Total,O42.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.857779,DraftKings,NFL
TEN Titans,HOU Texans,MoneyLine,TEN Titans,+285,SUN NOV 24TH,2024-11-14 15:43:59.857784,DraftKings,NFL
HOU Texans,TEN Titans,Spread,-7.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.858090,DraftKings,NFL
HOU Texans,TEN Titans,Total,U42.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.858095,DraftKings,NFL
HOU Texans,TEN Titans,MoneyLine,HOU Texans,−360,SUN NOV 24TH,2024-11-14 15:43:59.858099,DraftKings,NFL
DAL Cowboys,WAS Commanders,Spread,+10,−110,SUN NOV 24TH,2024-11-14 15:43:59.858404,DraftKings,NFL
DAL Cowboys,WAS Commanders,Total,O45,−110,SUN NOV 24TH,2024-11-14 15:43:59.858410,DraftKings,NFL
DAL Cowboys,WAS Commanders,MoneyLine,DAL Cowboys,+400,SUN NOV 24TH,2024-11-14 15:43:59.858414,DraftKings,NFL
WAS Commanders,DAL Cowboys,Spread,-10,−110,SUN NOV 24TH,2024-11-14 15:43:59.858748,DraftKings,NFL
WAS Commanders,DAL Cowboys,Total,U45,−110,SUN NOV 24TH,2024-11-14 15:43:59.858754,DraftKings,NFL
WAS Commanders,DAL Cowboys,MoneyLine,WAS Commanders,−535,SUN NOV 24TH,2024-11-14 15:43:59.858758,DraftKings,NFL
MIN Vikings,CHI Bears,Spread,-5,−110,SUN NOV 24TH,2024-11-14 15:43:59.859178,DraftKings,NFL
MIN Vikings,CHI Bears,Total,O40,−110,SUN NOV 24TH,2024-11-14 15:43:59.859184,DraftKings,NFL
MIN Vikings,CHI Bears,MoneyLine,MIN Vikings,−225,SUN NOV 24TH,2024-11-14 15:43:59.859193,DraftKings,NFL
CHI Bears,MIN Vikings,Spread,+5,−110,SUN NOV 24TH,2024-11-14 15:43:59.859522,DraftKings,NFL
CHI Bears,MIN Vikings,Total,U40,−110,SUN NOV 24TH,2024-11-14 15:43:59.859527,DraftKings,NFL
CHI Bears,MIN Vikings,MoneyLine,CHI Bears,+185,SUN NOV 24TH,2024-11-14 15:43:59.859532,DraftKings,NFL
DEN Broncos,LV Raiders,Spread,-3,−110,SUN NOV 24TH,2024-11-14 15:43:59.859851,DraftKings,NFL
DEN Broncos,LV Raiders,Total,O41.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.859857,DraftKings,NFL
DEN Broncos,LV Raiders,MoneyLine,DEN Broncos,−155,SUN NOV 24TH,2024-11-14 15:43:59.859862,DraftKings,NFL
LV Raiders,DEN Broncos,Spread,+3,−110,SUN NOV 24TH,2024-11-14 15:43:59.860169,DraftKings,NFL
LV Raiders,DEN Broncos,Total,U41.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.860174,DraftKings,NFL
LV Raiders,DEN Broncos,MoneyLine,LV Raiders,+130,SUN NOV 24TH,2024-11-14 15:43:59.860179,DraftKings,NFL
SF 49ers,GB Packers,Spread,+1,−110,SUN NOV 24TH,2024-11-14 15:43:59.860487,DraftKings,NFL
SF 49ers,GB Packers,Total,O48.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.860492,DraftKings,NFL
SF 49ers,GB Packers,MoneyLine,SF 49ers,−102,SUN NOV 24TH,2024-11-14 15:43:59.860497,DraftKings,NFL
GB Packers,SF 49ers,Spread,-1,−110,SUN NOV 24TH,2024-11-14 15:43:59.860803,DraftKings,NFL
GB Packers,SF 49ers,Total,U48.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.860808,DraftKings,NFL
GB Packers,SF 49ers,MoneyLine,GB Packers,−118,SUN NOV 24TH,2024-11-14 15:43:59.860813,DraftKings,NFL
ARI Cardinals,SEA Seahawks,Spread,+1,−110,SUN NOV 24TH,2024-11-14 15:43:59.861121,DraftKings,NFL
ARI Cardinals,SEA Seahawks,Total,O48.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.861128,DraftKings,NFL
ARI Cardinals,SEA Seahawks,MoneyLine,ARI Cardinals,−105,SUN NOV 24TH,2024-11-14 15:43:59.861132,DraftKings,NFL
SEA Seahawks,ARI Cardinals,Spread,-1,−110,SUN NOV 24TH,2024-11-14 15:43:59.861438,DraftKings,NFL
SEA Seahawks,ARI Cardinals,Total,U48.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.861443,DraftKings,NFL
SEA Seahawks,ARI Cardinals,MoneyLine,SEA Seahawks,−115,SUN NOV 24TH,2024-11-14 15:43:59.861448,DraftKings,NFL
PHI Eagles,LA Rams,Spread,-2.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.861752,DraftKings,NFL
PHI Eagles,LA Rams,Total,O47,−110,SUN NOV 24TH,2024-11-14 15:43:59.861757,DraftKings,NFL
PHI Eagles,LA Rams,MoneyLine,PHI Eagles,−142,SUN NOV 24TH,2024-11-14 15:43:59.861763,DraftKings,NFL
LA Rams,PHI Eagles,Spread,+2.5,−110,SUN NOV 24TH,2024-11-14 15:43:59.862074,DraftKings,NFL
LA Rams,PHI Eagles,Total,U47,−110,SUN NOV 24TH,2024-11-14 15:43:59.862080,DraftKings,NFL
LA Rams,PHI Eagles,MoneyLine,LA Rams,+120,SUN NOV 24TH,2024-11-14 15:43:59.862084,DraftKings,NFL
BAL Ravens,LA Chargers,Spread,-3,−105,MON NOV 25TH,2024-11-14 15:43:59.863683,DraftKings,NFL
BAL Ravens,LA Chargers,Total,O47,−110,MON NOV 25TH,2024-11-14 15:43:59.863688,DraftKings,NFL
