Team 1,Team 2,Bet Type,Bet Info,Odds,Time of Game,DateTime,Sportsbook Name,Sport
Thunder,Spurs,MoneyLine,,-350,Today • 7:40 PM,2024-11-18 16:29:21.919779,BetMGM,NBA
Spurs,Thunder,Spread,+8.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.919782,BetMGM,NBA
Spurs,Thunder,Total (Under),U 222.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.919785,BetMGM,NBA
Spurs,Thunder,MoneyLine,,+275,Today • 7:40 PM,2024-11-18 16:29:21.919792,BetMGM,NBA
Jazz,Lakers,Spread,+11.5,-115,Today • 7:40 PM,2024-11-18 16:29:21.923330,BetMGM,NBA
Jazz,Lakers,Total (Over),O 230.5,-105,Today • 7:40 PM,2024-11-18 16:29:21.923336,BetMGM,NBA
Jazz,Lakers,MoneyLine,,+400,Today • 7:40 PM,2024-11-18 16:29:21.923340,BetMGM,NBA
Lakers,Jazz,Spread,-11.5,-105,Today • 7:40 PM,2024-11-18 16:29:21.923343,BetMGM,NBA
Lakers,Jazz,Total (Under),U 230.5,-115,Today • 7:40 PM,2024-11-18 16:29:21.923346,BetMGM,NBA
Lakers,Jazz,MoneyLine,,-550,Today • 7:40 PM,2024-11-18 16:29:21.923350,BetMGM,NBA
